category,Maximum temperature,Average temperature,Minimum temperature
Tue Jan 01 2019,7.9,5.4,2.3
Wed Jan 02 2019,7.1,4.6,2.2
Thu Jan 03 2019,6.9,4.3,1.5
Fri Jan 04 2019,6.7,4.4,1.6
Sat Jan 05 2019,7.2,4.7,2
Sun Jan 06 2019,7,4.6,1.6
Mon Jan 07 2019,7.4,5.1,2.2
Tue Jan 08 2019,7.5,5.2,2.4
Wed Jan 09 2019,7.2,4.5,1.8
Thu Jan 10 2019,7.1,4.7,1.6
Fri Jan 11 2019,7.4,4.8,1.6
Sat Jan 12 2019,7,4.6,1.6
Sun Jan 13 2019,7.3,5.1,2.7
Mon Jan 14 2019,6.4,4.1,1.8
Tue Jan 15 2019,7.4,5,2
Wed Jan 16 2019,6.9,4.3,1.7
Thu Jan 17 2019,6.9,4,1.4
Fri Jan 18 2019,6.8,4.1,1.2
Sat Jan 19 2019,7.3,5,2.4
Sun Jan 20 2019,7,4.8,2.2
Mon Jan 21 2019,6.6,4.2,1.7
Tue Jan 22 2019,6.6,3.7,0.5
Wed Jan 23 2019,6.5,4.2,1.6
Thu Jan 24 2019,6.8,3.9,0.9
Fri Jan 25 2019,7.2,4.2,0.8
Sat Jan 26 2019,7,4.2,1.3
Sun Jan 27 2019,7.6,4.3,1.5
Mon Jan 28 2019,7.1,4.2,1.5
Tue Jan 29 2019,6.7,4.5,2.1
Wed Jan 30 2019,6.3,4.2,1.9
Thu Jan 31 2019,6.7,4.3,1.5
Fri Feb 01 2019,7.1,4.7,2
Sat Feb 02 2019,7,4.6,2.1
Sun Feb 03 2019,7.5,4.4,1.5
Mon Feb 04 2019,8.1,5.4,2.7
Tue Feb 05 2019,8,5.6,3.4
Wed Feb 06 2019,7.4,5,2.8
Thu Feb 07 2019,7.5,4.3,1.3
Fri Feb 08 2019,6.7,3.9,1
Sat Feb 09 2019,6.2,3.3,0.7
Sun Feb 10 2019,6.4,3.9,0.9
Mon Feb 11 2019,7,4.1,1.5
Tue Feb 12 2019,7.2,4.6,1.4
Wed Feb 13 2019,6.5,4,1.7
Thu Feb 14 2019,7.3,4,1
Fri Feb 15 2019,7.3,4.5,1.6
Sat Feb 16 2019,7.3,4.3,1.9
Sun Feb 17 2019,7.8,4.2,1.2
Mon Feb 18 2019,7.8,4.4,1.1
Tue Feb 19 2019,7.4,4.3,1.3
Wed Feb 20 2019,7.5,4.6,1.9
Thu Feb 21 2019,8.5,5.1,2.2
Fri Feb 22 2019,7.9,5.1,2.6
Sat Feb 23 2019,7.7,5,2.3
Sun Feb 24 2019,8.5,5.1,2.2
Mon Feb 25 2019,8,5,1.6
Tue Feb 26 2019,8.8,5.6,2.4
Wed Feb 27 2019,8.3,5,2
